Dist Code,Year,State Code,State Name,Dist Name,yield_kg_per_ha,rainfall_kharif_mm,rainfall_anomaly,tmax_kharif_mean_c,tmin_kharif_mean_c,temp_kharif_mean_c,temp_anomaly,extreme_heat_days,extreme_heat_anomaly,max_dry_spell_days,dry_spell_anomaly,rice_irrigated_area_1000ha,irrigation_share,lagged_yield,rice_area_1000ha
102,1990,7,Maharashtra,Ahmednagar,947.0,675.0742,0.15637238,29.76954460144043,20.82509994506836,25.29732131958008,-1.932687511431888,0,-1.9171248099051024,16,-0.6241551841629772,,,,7.5
102,1991,7,Maharashtra,Ahmednagar,939.0,462.99414,-0.74879795,30.76791000366211,20.79267883300781,25.78029441833496,-0.7782640903681639,6,-0.9311749076681928,51,3.263591090072516,,,947.0,4.9
102,1992,7,Maharashtra,Ahmednagar,1284.0,437.9568,-0.8556589,31.69320297241211,21.263792037963867,26.478496551513672,0.890609180743842,17,0.8763999130994756,22,0.0423156057059644,,,939.0,8.1
102,1993,7,Maharashtra,Ahmednagar,842.0,588.7556,-0.21204054,30.88346290588379,21.50889015197754,26.196176528930664,0.2157955169077232,12,0.0547749945687173,14,-0.8463121141192911,,,1284.0,7.6
102,1994,7,Maharashtra,Ahmednagar,882.0,405.63675,-0.99360275,30.29293632507324,20.7923526763916,25.542644500732425,-1.3463053158556932,9,-0.4381999565497376,28,0.7087863955749061,,,842.0,6.8
102,1995,7,Maharashtra,Ahmednagar,1603.0,464.30338,-0.7432101,31.940263748168945,21.7186279296875,26.829444885253903,1.7294612350248837,17,0.8763999130994756,16,-0.6241551841629772,,,882.0,5.8
102,1996,7,Maharashtra,Ahmednagar,1333.0,657.88916,0.08302553,31.060327529907227,21.21026039123535,26.13529396057129,0.0702713396196488,16,0.712074929393324,16,-0.6241551841629772,,,1603.0,5.7
102,1997,7,Maharashtra,Ahmednagar,1223.0,402.24405,-1.008083,31.47732162475586,21.339868545532227,26.40859603881836,0.7235299185491881,17,0.8763999130994756,17,-0.5130767191848203,,,1333.0,10.3
102,1998,7,Maharashtra,Ahmednagar,1321.0,792.8391,0.6589999,31.1643123626709,21.40372467041016,26.284019470214844,0.4257615565381201,13,0.2190999782748689,15,-0.7352336491411342,,,1223.0,5.6
102,1999,7,Maharashtra,Ahmednagar,1404.0,900.2058,1.1172473,30.43280792236328,20.27653694152832,25.354671478271484,-1.7956066542045208,3,-1.4241498587866477,26,0.4866294656185921,,,1321.0,5.7
102,2000,7,Maharashtra,Ahmednagar,691.0,541.9907,-0.41163588,31.11287307739257,20.36666679382324,25.7397689819336,-0.875129760632549,2,-1.5884748424927992,25,0.3755510006404352,,,1404.0,5.5
102,2001,7,Maharashtra,Ahmednagar,562.0,553.69946,-0.36166227,30.65045738220215,21.11058807373047,25.880523681640625,-0.538691722187994,7,-0.766849923962041,25,0.3755510006404352,,,691.0,7.3
102,2002,7,Maharashtra,Ahmednagar,230.0,437.35834,-0.8582131,31.38019561767578,21.695947647094727,26.538070678710938,1.0330058647480935,22,1.6980248316302338,18,-0.4019982542066633,,,562.0,7.4
102,2003,7,Maharashtra,Ahmednagar,776.0,339.17548,-1.2772634,31.106142044067383,21.19091415405273,26.14852905273437,0.1019064356785986,12,0.0547749945687173,27,0.5977079305967491,,,230.0,7.6
